child_replace,father_replace,category,cv_value,growth
ZHC2,B8W8,T4MS,0.1080950039,0.0001149961
MEFQ,5FPK,T4MS,0.1081729625,3.70375e-05
PJR4,6PE7,T4MS,0.1080903876,0.0001196124
W3ZV,RUFT,T4MS,0.1081076445,0.0001023555
UYDZ,OPVX,T4MS,0.1081234932,8.65068e-05
VZN9,RUFT,T4MS,0.1080667566,0.0001432434
KUPK,OPVX,T4MS,0.108075329,0.000134671
E2MJ,5FPK,T4MS,0.1081394484,7.05516e-05
URYD,OPVX,T4MS,0.108130216,7.9784e-05
JBJP,B8W8,T4MS,0.1081394484,7.05516e-05
HSVE,2A7I,T4MS,0.108144313,6.5687e-05
R7GL,B8W8,T4MS,0.1081474201,6.25799e-05
IX8T,RUFT,T4MS,0.1080480255,0.0001619745
JSAX,OPVX,T4MS,0.1080423392,0.0001676608
RH2K,2A7I,T4MS,0.1081511638,5.88362e-05
OEH6,RUFT,T4MS,0.108143946,6.6054e-05
JQH3,5FPK,T4MS,0.1081336301,7.63699e-05
P2K2,0OJM,T4MS,0.1081365714,7.34286e-05
LLLH,6PE7,T4MS,0.1081594325,5.05675e-05
5OVC,OPVX,T4MS,0.1080713956,0.0001386044
GZA8,5FPK,T4MS,0.1082383835,-2.83835e-05
NDL9,UJ5T,T4MS,0.108177537,3.2463e-05
3YQ1,RUFT,T4MS,0.1080522514,0.0001577486
Q231,6PE7,T4MS,0.1081162208,9.37792e-05
2US6,OPVX,T4MS,0.108111075,9.8925e-05
W3Y9,B8W8,T4MS,0.1081013104,0.0001086896
FLXH,WMTK,90QI,0.1082000544,9.9456e-06
5LNN,6E4H,90QI,0.1081220092,8.79908e-05
A4ZC,6E4H,90QI,0.108098932,0.000111068
OQMY,U37O,90QI,0.1081176934,9.23066e-05
PPNK,J9SY,90QI,0.1080251345,0.0001848655
VYSA,QZYX,90QI,0.1081099361,0.0001000639
HSI5,FSXG,90QI,0.1081394484,7.05516e-05
93OJ,J9SY,90QI,0.1081394484,7.05516e-05
738L,6E4H,90QI,0.1081197055,9.02945e-05
BIA0,QZYX,90QI,0.1081394419,7.05581e-05
KBWO,U37O,90QI,0.1080970074,0.0001129926
BER4,WMTK,90QI,0.1081410645,6.89355e-05
BFD1,J9SY,90QI,0.1080403767,0.0001696233
0FOI,QZYX,90QI,0.1081394484,7.05516e-05
WSRG,U37O,90QI,0.108101469,0.000108531
9F96,31JW,90QI,0.1081394484,7.05516e-05
6SKY,FSXG,90QI,0.1080894495,0.0001205505
CAAV,BPSA,90QI,0.1081446119,6.53881e-05
8CHJ,WMTK,90QI,0.1081405607,6.94393e-05
I2OD,6E4H,90QI,0.1080879538,0.0001220462
1DT6,WMTK,90QI,0.1081050654,0.0001049346
CEL6,J9SY,90QI,0.108108187,0.000101813
CYDC,QZYX,90QI,0.1081136622,9.63378e-05
ONY7,SST3,56SI,0.1081558491,5.41509e-05
1AN5,SST3,56SI,0.1081574981,5.25019e-05
ZWPL,BP09,56SI,0.1081779453,3.20547e-05
HAXM,SST3,56SI,0.1082258358,-1.58358e-05
1MSV,BP09,56SI,0.1083082311,-9.82311e-05
YJXM,3NHZ,L44T,0.1082970868,-8.70868e-05
M0WG,U9RX,L44T,0.108139294,7.0706e-05
0ZND,U9RX,L44T,0.1081394484,7.05516e-05
59QM,3NHZ,L44T,0.1082552161,-4.52161e-05
4M0E,U9RX,L44T,0.1081672786,4.27214e-05
1MSV,0B60,JD7X,0.1082124118,-2.4118e-06
1MSV,7G9M,AHH5,0.1081859745,2.40255e-05
V4XX,7G9M,AHH5,0.1081431315,6.68685e-05
